txn_id,timestamp,account_id,payee_id,amount_inr,channel,flagged
T1001,2026-06-13T18:15:02,ACC-VICTIM-01,PAYEE-GROCERY-12,850.00,UPI,N
T1002,2026-06-13T18:16:40,ACC-VICTIM-01,PAYEE-GROCERY-12,420.00,UPI,N
T1003,2026-06-13T18:22:11,ACC-VICTIM-01,PAYEE-MULE-A,49500.00,UPI,Y
T1004,2026-06-13T18:23:05,ACC-VICTIM-01,PAYEE-MULE-A,49500.00,UPI,Y
T1005,2026-06-13T18:24:52,ACC-VICTIM-01,PAYEE-MULE-A,49000.00,UPI,Y
T1006,2026-06-13T18:41:19,ACC-MULE-A,PAYEE-MULE-B,145000.00,IMPS,Y
T1007,2026-06-13T19:02:37,ACC-MULE-B,PAYEE-MULE-C,140000.00,IMPS,Y
T1008,2026-06-13T19:30:04,ACC-MULE-C,BTC-WALLET-SIM-1,138000.00,CRYPTO_OFFRAMP,Y
T1009,2026-06-14T09:10:00,ACC-VICTIM-01,PAYEE-ELECTRICITY,1200.00,UPI,N
T1010,2026-06-14T10:05:22,ACC-VICTIM-02,PAYEE-MULE-A,62000.00,UPI,Y
